id;actsArr;stageID;id-name;name;date;start_time;end_time;type;status;tags;description;ticket;url
301;111;1;;;29.05.2026;29.05.2026 17:30;29.05.2026 18:00;Performance;;;Marc Freudenberg auf der B[ue]hne Melone;;
302;112;1;;;29.05.2026;29.05.2026 18:30;29.05.2026 19:00;Performance;;;Tridiculous auf der B[ue]hne Melone;;
303;113;1;;;29.05.2026;29.05.2026 19:30;29.05.2026 20:00;Performance;;;Anna Ki auf der B[ue]hne Melone;;
304;114;1;;;29.05.2026;29.05.2026 20:30;29.05.2026 21:00;Performance;;;Duo Lolly Pop auf der B[ue]hne Melone;;
305;115;2;;;29.05.2026;29.05.2026 18:00;29.05.2026 18:30;Performance;;;Satya Bella auf der B[ue]hne Glockenhut;;
306;114;2;;;29.05.2026;29.05.2026 19:00;29.05.2026 19:30;Performance;;;Duo Lolly Pop auf der B[ue]hne Glockenhut;;
307;111;2;;;29.05.2026;29.05.2026 20:00;29.05.2026 20:30;Performance;;;Marc Freudenberg auf der B[ue]hne Glockenhut;;
308;116;2;;;29.05.2026;29.05.2026 21:00;29.05.2026 21:30;Performance;;;Marcos Luis Masetti auf der B[ue]hne Glockenhut;;
309;117;3;;;29.05.2026;29.05.2026 17:30;29.05.2026 18:00;Performance;;;Kuutenkidou auf der B[ue]hne Zylinder;;
310;118;3;;;29.05.2026;29.05.2026 18:30;29.05.2026 19:00;Performance;;;Duo Masawa auf der B[ue]hne Zylinder;;
311;119;3;;;29.05.2026;29.05.2026 19:30;29.05.2026 20:00;Performance;;;Zinzi & Evertjan auf der B[ue]hne Zylinder;;
312;112;3;;;29.05.2026;29.05.2026 20:30;29.05.2026 21:00;Performance;;;Tridiculous auf der B[ue]hne Zylinder;;
313;120;3;;;29.05.2026;29.05.2026 21:30;29.05.2026 22:00;Performance;;;The Funky Monkeys auf der B[ue]hne Zylinder;;
314;;4;opening;Er[oe]ffnung;29.05.2026;29.05.2026 17:00;29.05.2026 17:30;spezial;;;Er[oe]ffnung auf der B[ue]hne Sombrero;;
315;122;4;;;29.05.2026;29.05.2026 17:30;29.05.2026 18:00;Performance;;;Circus unARTiq auf der B[ue]hne Sombrero;;
316;123;4;;;29.05.2026;29.05.2026 18:00;29.05.2026 18:30;Performance;;;Duo flexoncirc auf der B[ue]hne Sombrero;;
317;120;4;;;29.05.2026;29.05.2026 19:00;29.05.2026 19:30;Performance;;;The Funky Monkeys auf der B[ue]hne Sombrero;;
318;117;4;;;29.05.2026;29.05.2026 20:00;29.05.2026 20:30;Performance;;;Kuutenkidou auf der B[ue]hne Sombrero;;
319;122;4;;;29.05.2026;29.05.2026 20:30;29.05.2026 21:00;Performance;;;Circus unARTiq auf der B[ue]hne Sombrero;;
320;124;4;;;29.05.2026;29.05.2026 21:00;29.05.2026 22:00;Musik;;;sound gurus auf der B[ue]hne Sombrero;;
321;125;5;;;29.05.2026;29.05.2026 17:30;29.05.2026 18:00;Musik;;;enVivo auf der B[ue]hne Porkpie;;
322;126;5;;;29.05.2026;29.05.2026 18:30;29.05.2026 19:00;Musik;;;two chords auf der B[ue]hne Porkpie;;
323;124;5;;;29.05.2026;29.05.2026 19:30;29.05.2026 20:00;Musik;;;sound gurus auf der B[ue]hne Porkpie;;
324;125;5;;;29.05.2026;29.05.2026 20:30;29.05.2026 21:00;Musik;;;enVivo auf der B[ue]hne Porkpie;;
325;119;6;;;29.05.2026;29.05.2026 18:00;29.05.2026 18:30;Performance;;;Zinzi & Evertjan auf der B[ue]hne Cowboyhut;;
